File,Group,RMS_x,RMS_y,偏心比例,主頻率(Hz),等效剛性(N/m),RMS加速度
E:\EarthScienceFair_Data\1\G2\1-G2-1.xlsx,1-G2,0.024916627362104333,0.0006559077086017424,0.026324096719418443,2.6928834238083463,558.3940697822346,1.6408750681520154
E:\EarthScienceFair_Data\1\G2\1-G2-2.xlsx,1-G2,0.024296725628428394,0.0006314251536859057,0.025988076061866806,2.6869003474453925,555.9155347728775,1.2614957833962215
E:\EarthScienceFair_Data\1\G2\1-G2-3.xlsx,1-G2,0.024584111542019994,0.0005433646558669374,0.022102269383955576,2.6420416835887,537.508110562147,1.8384558099259976
E:\EarthScienceFair_Data\1\G2\1-G2-4.xlsx,1-G2,0.024627037903602225,0.000592260925562138,0.02404921484591159,2.6086779479698934,524.0185068429965,1.7188565805780691
E:\EarthScienceFair_Data\1\G2\1-G2-5.xlsx,1-G2,0.024060041253064438,0.0006581215023031156,0.02735329899815916,2.6728847688149933,550.1310577279538,1.6011275258233784
E:\EarthScienceFair_Data\1\G3\1-G3-1.xlsx,1-G3,0.12022999508448069,0.006866837261244741,0.05711417734334677,2.712053804705093,584.2886955888135,2.084805256145779
E:\EarthScienceFair_Data\1\G3\1-G3-2.xlsx,1-G3,0.024138941082867526,0.0009149531857810138,0.03790361733930394,2.6355186389733323,551.7763288571465,1.9957303020352979
E:\EarthScienceFair_Data\1\G3\1-G3-3.xlsx,1-G3,0.024661951687578218,0.000880851862863108,0.035717037889859186,2.280450184670689,413.11604308193984,1.909642415473263
E:\EarthScienceFair_Data\1\G3\1-G3-4.xlsx,1-G3,0.024454255892954906,0.000854176776253691,0.03492957544865526,2.681470383020987,571.1851270420805,1.9240627284159866
E:\EarthScienceFair_Data\1\G3\1-G3-5.xlsx,1-G3,0.024053829650939,0.0006370187303701723,0.026483048213709483,2.7586876629947357,604.5551801275142,1.8195434995245914
E:\EarthScienceFair_Data\2\G1\2-G1-1.xlsx,2-G1,0.024764135719638657,0.0022848004827138433,0.09226247621078623,2.7814850854198405,678.0875094817886,1.6403273352921566
E:\EarthScienceFair_Data\2\G1\2-G1-2.xlsx,2-G1,0.025243464435656313,0.0026759560653473275,0.106005895988173,2.766936933563941,671.0127841139051,2.1424881200446477
E:\EarthScienceFair_Data\2\G1\2-G1-3.xlsx,2-G1,0.024760495908944583,0.0013073731226466059,0.052800764873789346,2.7165537793510564,646.7983268902144,2.067287557187067
